2024-12-13 23:07:43,951 - INFO - Inicializando cliente en Testnet...
2024-12-13 23:07:46,485 - INFO - Dimensiones de X: (1907, 60, 9)
2024-12-13 23:08:48,292 - INFO - Predicción del modelo: 0.6744719744, Precio actual: 0.4098300000
2024-12-13 23:08:48,292 - INFO - BUY 5 USDT de DOGEUSDT a 0.4098300000
2024-12-13 23:08:48,292 - INFO - Stop-Loss: 0.4094612975, Take-Profit: 0.4101987025
2024-12-13 23:08:50,738 - INFO - Precio actual: 0.4096800000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:08:56,314 - INFO - Precio actual: 0.4096800000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:09:01,902 - INFO - Precio actual: 0.4096800000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:09:07,457 - INFO - Precio actual: 0.4096800000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:09:12,693 - INFO - Precio actual: 0.4096800000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:09:18,239 - INFO - Precio actual: 0.4096800000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:09:23,488 - INFO - Precio actual: 0.4096800000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:09:29,043 - INFO - Precio actual: 0.4096800000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:09:34,282 - INFO - Precio actual: 0.4097200000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:09:39,525 - INFO - Precio actual: 0.4097200000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:09:44,768 - INFO - Precio actual: 0.4097200000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:09:50,004 - INFO - Precio actual: 0.4097200000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:09:55,238 - INFO - Precio actual: 0.4096900000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:10:00,475 - INFO - Precio actual: 0.4096900000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:10:05,771 - INFO - Precio actual: 0.4096900000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:10:10,993 - INFO - Precio actual: 0.4096700000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:10:16,250 - INFO - Precio actual: 0.4096700000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:10:21,481 - INFO - Precio actual: 0.4097300000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:10:26,719 - INFO - Precio actual: 0.4096500000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:10:31,965 - INFO - Precio actual: 0.4097600000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:10:37,200 - INFO - Precio actual: 0.4097900000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
2024-12-13 23:10:42,513 - INFO - Precio actual: 0.4098100000, Take-Profit: 0.4101987025, Stop-Loss: 0.4094612975
